,u,v,u_name,v_name,u_coords,v_coords,dist,train_co2,airplane_co2,car_co2,modes
19,14,16,Buenos Aires,Doha,"(-34.6037181, -58.38153)","(25.2856329, 51.5264162)",13312.38074067879,0.18637333036950304,3.7940285110934546,2.582601863691685,[<Mode.AIRPLANE: 0>]
20,12,17,Rotterdam,Los Cabos,"(51.9244424, 4.47775)","(21.166121, -100.936442)",9183.010172658302,0.12856214241721622,2.617157899207616,1.7815039734957103,[<Mode.AIRPLANE: 0>]
21,13,17,Delray Beach,Los Cabos,"(26.4614625, -80.0728201)","(21.166121, -100.936442)",2202.34400802664,0.030832816112372957,0.6276680422875924,0.4272547375571682,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
22,14,17,Buenos Aires,Los Cabos,"(-34.6037181, -58.38153)","(21.166121, -100.936442)",7638.879196201417,0.10694430874681982,2.1770805709174037,1.4819425640630748,[<Mode.AIRPLANE: 0>]
23,15,18,Rio de Janeiro,Dubai,"(-22.9110137, -43.2093727)","(25.074282349999997, 55.18853865430702)",11861.316445672213,0.16605843023941097,3.3804751870165806,2.301095390460409,[<Mode.AIRPLANE: 0>]
24,15,19,Rio de Janeiro,Acapulco,"(-22.9110137, -43.2093727)","(16.8680495, -99.8940182)",7577.73829502361,0.10608833613033053,2.1596554140817283,1.4700812292345802,[<Mode.AIRPLANE: 0>]
25,18,20,Dubai,Santiago,"(25.074282349999997, 55.18853865430702)","(-33.4377756, -70.6504502)",14740.348838135513,0.2063648837338972,4.200999418868621,2.85962767459829,[<Mode.AIRPLANE: 0>]
26,19,20,Acapulco,Santiago,"(16.8680495, -99.8940182)","(-33.4377756, -70.6504502)",6375.342046991809,0.08925478865788533,1.8169724833926657,1.236816357116411,[<Mode.AIRPLANE: 0>]
27,20,21,Santiago,Indian Wells,"(-33.4377756, -70.6504502)","(33.7217965, -116.338303)",8836.674232252592,0.12371343925153629,2.5184521561919886,1.7143148010570028,[<Mode.AIRPLANE: 0>]
28,21,22,Indian Wells,Miami,"(33.7217965, -116.338303)","(25.7741728, -80.19362)",3585.834811830976,0.050201687365633664,1.021962921371828,0.6956519534952094,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
29,22,23,Miami,Houston,"(25.7741728, -80.19362)","(29.7589382, -95.3676974)",1558.128829923413,0.02181380361892778,0.44406671652817264,0.3022769930051421,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
